grafo_id,n,num_edges,mixer,p,num_params,ground_energy,initial_problem_energy,energy_final,absolute_error,relative_error,runtime_min,num_restarts,maxiter,method,best_init_name,optimizer_success,optimizer_nfev,optimizer_nit
1,6,10,jx,1,2,-20.0,-12.5,-15.78756840163647,4.21243159836353,0.21062157991817648,0.004698797067006429,25,200,L-BFGS-B,random_6,True,90,14
1,6,10,jx,2,4,-20.0,-12.5,-17.35798108148047,2.642018918519529,0.13210094592597646,0.016428669293721516,25,200,L-BFGS-B,random_10,True,140,21
1,6,10,jx,3,6,-20.0,-12.5,-18.145867001714336,1.8541329982856638,0.09270664991428319,0.05023582776387533,25,200,L-BFGS-B,random_14,True,322,26
1,6,10,jx,4,8,-20.0,-12.5,-18.249152134488057,1.7508478655119433,0.08754239327559717,0.11536869605382284,25,200,L-BFGS-B,random_16,True,666,47
1,6,10,jx,5,10,-20.0,-12.5,-18.61465331114625,1.3853466888537511,0.06926733444268755,0.1871182401974996,25,200,L-BFGS-B,random_4,True,2002,139
1,6,10,jx,6,12,-20.0,-12.5,-18.614653311148427,1.3853466888515733,0.06926733444257867,0.25370437701543175,25,200,L-BFGS-B,warm,True,39,1
1,6,10,jx,7,14,-20.0,-12.5,-18.627671030295737,1.372328969704263,0.06861644848521316,0.43927157322565713,25,200,L-BFGS-B,random_22,True,1065,58
1,6,10,jx,8,16,-20.0,-12.5,-19.029169550458896,0.9708304495411042,0.04854152247705521,0.6691148440043132,25,200,L-BFGS-B,random_17,True,3876,180
1,6,10,jx,9,18,-20.0,-12.5,-19.365161448963512,0.6348385510364878,0.03174192755182439,0.9566768407821655,25,200,L-BFGS-B,random_25,True,3591,163
1,6,10,jx,10,20,-20.0,-12.5,-19.38459947247797,0.6154005275220307,0.030770026376101534,1.4830479661623637,25,200,L-BFGS-B,random_10,False,4851,200
1,6,10,jx,11,22,-20.0,-12.5,-19.49462898175199,0.5053710182480096,0.02526855091240048,2.1744529644648236,25,200,L-BFGS-B,warm,False,5014,200
1,6,10,jx,12,24,-20.0,-12.5,-19.494885622782547,0.5051143772174527,0.025255718860872634,2.562880742549896,25,200,L-BFGS-B,warm,False,5300,200
1,6,10,jx,13,26,-20.0,-12.5,-19.49488575488215,0.5051142451178485,0.025255712255892425,3.209052010377248,25,200,L-BFGS-B,warm,True,2754,98
1,6,10,jx,14,28,-20.0,-12.5,-19.494885808407062,0.5051141915929378,0.02525570957964689,3.476893651485443,25,200,L-BFGS-B,warm,True,2262,68
1,6,10,jx,15,30,-20.0,-12.5,-19.494886504588436,0.5051134954115639,0.025255674770578197,4.702026391029358,25,200,L-BFGS-B,warm,True,6572,191
1,6,10,jx,16,32,-20.0,-12.5,-19.494886531393995,0.5051134686060053,0.025255673430300263,5.01497231721878,25,200,L-BFGS-B,warm,True,1518,43
1,6,10,jx,17,34,-20.0,-12.5,-19.49488653595298,0.505113464047021,0.02525567320235105,5.770339135328928,25,200,L-BFGS-B,warm,True,1330,35
