n,num_edges,E0_exacta,E_final,diferencia,ratio_E_E0,iteraciones,ops_ansatz,pool_size,grad_final_norm,runtime_min,optimizer_success,optimizer_message
4,6,-10.0,-9.996729193975494,0.0032708060245063564,0.9996729193975493,10,10,28,1.0220074534992806e-05,0.004864927132924398,True,Optimization terminated successfully.
5,10,-16.0,-15.933661338636975,0.0663386613630248,0.995853833664811,18,18,45,0.009758577774660564,0.041316123803456624,True,Optimization terminated successfully.
6,15,-24.0,-23.99635711533523,0.003642884664770918,0.9998482131389679,31,31,66,0.008940026126333094,4.480442313353221,True,Optimization terminated successfully.
7,21,-32.0,-31.9428090412178,0.057190958782200596,0.9982127825380562,21,21,91,3.075858500329517e-05,8.72988038857778,True,Optimization terminated successfully.
