grafo_id,n,l,num_edges,initial_energy,initial_problem_energy,ground_energy,first_excited_energy,spectral_gap,ground_degeneracy,final_energy,difference_ground,iterations,num_ansatz_ops,pool_size,final_gradient_norm,final_max_gradient,converged,stop_reason,optimizer_success,optimizer_status,optimizer_nfev,optimizer_njev,optimizer_nit,runtime_min
1,6,1,6,-12.000000000000002,-7.999999999999955,-12.0,-12.0,0.0,66,-11.953985096097092,0.04601490390290763,40,40,30,0.05993132340537059,0.0468801188951685,False,max_iteration_reached,True,0,41,1,0,28.08470622698466
2,6,1,9,-12.000000000000002,-12.000000000000005,-18.0,-18.0,0.0,12,-17.649870876463876,0.35012912353612435,13,13,42,1.3875281144024507e-05,7.812482852019435e-06,True,gradient_norm_below_epsilon,True,0,14,1,0,0.24871033827463787
3,6,1,12,-12.000000000000002,-15.999999999999957,-24.0,-24.0,0.0,6,-23.231297095442734,0.7687029045572658,12,12,54,5.428722016219874e-06,1.7322549267455524e-06,True,gradient_norm_below_epsilon,True,0,13,1,0,0.33142227729161583
4,6,1,15,-12.000000000000002,-19.9999999999999,-24.0,-24.0,0.0,90,-23.999999651172956,3.48827043694655e-07,39,39,66,7.038950598677493e-05,3.939581229851973e-05,True,gradient_norm_below_epsilon,True,0,40,1,0,24.93982384602229
