grafo_id,n,num_edges,mixer,p,num_params,ground_energy,initial_problem_energy,energy_final,absolute_error,relative_error,runtime_min,num_restarts,maxiter,method,best_init_name,optimizer_success,optimizer_nfev,optimizer_nit
1,6,6,jx,1,2,-12.0,-7.5,-10.410102784952773,1.5898972150472268,0.1324914345872689,0.005086974302927653,25,500,L-BFGS-B,random_21,True,75,11
1,6,6,jx,2,4,-12.0,-7.5,-11.353551594417052,0.646448405582948,0.05387070046524567,0.020961455504099526,25,500,L-BFGS-B,random_5,True,195,24
1,6,6,jx,3,6,-12.0,-7.5,-11.66491346921793,0.3350865307820694,0.02792387756517245,0.07099428176879882,25,500,L-BFGS-B,random_12,True,273,30
1,6,6,jx,4,8,-12.0,-7.5,-11.845189240095625,0.15481075990437532,0.012900896658697944,0.14132485389709473,25,500,L-BFGS-B,random_10,True,387,33
1,6,6,jx,5,10,-12.0,-7.5,-11.909102463053754,0.0908975369462457,0.0075747947455204745,0.3604229609171549,25,500,L-BFGS-B,random_1,True,1023,66
1,6,6,jx,6,12,-12.0,-7.5,-11.909102463070782,0.09089753692921754,0.007574794744101461,0.5995433648427327,25,500,L-BFGS-B,random_22,True,949,59
1,6,6,jx,7,14,-12.0,-7.5,-11.967179171362346,0.032820828637653676,0.0027350690531378063,1.308718248208364,25,500,L-BFGS-B,random_23,True,3075,178
1,6,6,jx,8,16,-12.0,-7.5,-11.973685796260206,0.026314203739794095,0.002192850311649508,1.4949899951616923,25,500,L-BFGS-B,random_3,True,4403,228
1,6,6,jx,9,18,-12.0,-7.5,-11.99318026773917,0.0068197322608298805,0.0005683110217358234,3.1602916320165,25,500,L-BFGS-B,random_11,False,10507,500
1,6,6,jx,10,20,-12.0,-7.5,-11.993778218196756,0.006221781803244397,0.0005184818169370331,5.404445882638296,25,500,L-BFGS-B,random_13,True,11340,487
1,6,6,jx,11,22,-12.0,-7.5,-11.993778218573581,0.0062217814264187155,0.000518481785534893,5.408459810415904,25,500,L-BFGS-B,warm,True,230,6
1,6,6,jx,12,24,-12.0,-7.5,-11.99610954745323,0.003890452546770007,0.0003242043788975006,5.742464145024617,25,500,L-BFGS-B,random_21,False,13300,500
1,6,6,jx,13,26,-12.0,-7.5,-11.997475790565234,0.002524209434765723,0.0002103507862304769,8.296351559956868,25,500,L-BFGS-B,warm,False,14337,500
1,6,6,jx,14,28,-12.0,-7.5,-11.997482495541458,0.0025175044585417083,0.00020979203821180903,9.426440942287446,25,500,L-BFGS-B,warm,False,15022,484
1,6,6,jx,15,30,-12.0,-7.5,-11.997482958647463,0.0025170413525366087,0.00020975344604471738,10.545155036449433,25,500,L-BFGS-B,warm,True,8029,237
1,6,6,jx,16,32,-12.0,-7.5,-11.99748295867987,0.002517041320130531,0.0002097534433442109,12.781320373217264,25,500,L-BFGS-B,warm,True,132,2
1,6,6,jx,17,34,-12.0,-7.5,-11.998469408201073,0.0015305917989270057,0.00012754931657725047,14.899019742012024,25,500,L-BFGS-B,random_20,False,15015,399
1,6,6,jx,18,36,-12.0,-7.5,-11.999355976540604,0.0006440234593956262,5.366862161630218e-05,17.536050701141356,25,500,L-BFGS-B,warm,False,15022,393
1,6,6,jx,19,38,-12.0,-7.5,-11.999521682685963,0.0004783173140374686,3.985977616978905e-05,18.57666653394699,25,500,L-BFGS-B,warm,False,15015,371
1,6,6,jx,20,40,-12.0,-7.5,-11.999575932293268,0.0004240677067315346,3.533897556096122e-05,20.61151763598124,25,500,L-BFGS-B,warm,False,15006,352
2,6,9,jx,1,2,-18.0,-11.25,-14.425896785727247,3.5741032142727533,0.19856128968181963,0.0036157568295796714,25,500,L-BFGS-B,random_4,True,30,7
2,6,9,jx,2,4,-18.0,-11.25,-15.759403909683293,2.240596090316707,0.12447756057315039,0.019209512074788413,25,500,L-BFGS-B,random_10,True,120,19
2,6,9,jx,3,6,-18.0,-11.25,-16.13356394894851,1.8664360510514904,0.10369089172508279,0.059562365214029946,25,500,L-BFGS-B,random_23,True,455,46
2,6,9,jx,4,8,-18.0,-11.25,-16.66255828675122,1.3374417132487793,0.07430231740270996,0.11615204811096191,25,500,L-BFGS-B,random_23,True,459,37
2,6,9,jx,5,10,-18.0,-11.25,-17.02301520497551,0.9769847950244888,0.05427693305691604,0.22016164064407348,25,500,L-BFGS-B,random_2,True,1507,102
2,6,9,jx,6,12,-18.0,-11.25,-17.023015204976282,0.9769847950237178,0.054276933056873214,0.5027352015177409,25,500,L-BFGS-B,warm,True,39,1
2,6,9,jx,7,14,-18.0,-11.25,-17.182757931858447,0.8172420681415531,0.04540233711897517,0.8660294612248739,25,500,L-BFGS-B,random_14,True,1635,87
2,6,9,jx,8,16,-18.0,-11.25,-17.28518086430303,0.7148191356969704,0.039712174205387245,1.3264582713445028,25,500,L-BFGS-B,random_10,True,1734,83
2,6,9,jx,9,18,-18.0,-11.25,-17.285180864306252,0.7148191356937481,0.03971217420520823,1.8360572338104248,25,500,L-BFGS-B,warm,True,57,1
2,6,9,jx,10,20,-18.0,-11.25,-17.552138401398164,0.44786159860183616,0.02488119992232423,2.5762712796529135,25,500,L-BFGS-B,random_25,True,6531,283
2,6,9,jx,11,22,-18.0,-11.25,-17.55213840140546,0.4478615985945389,0.024881199921918826,3.9188379645347595,25,500,L-BFGS-B,warm,True,69,1
2,6,9,jx,12,24,-18.0,-11.25,-17.552138401411295,0.44786159858870533,0.02488119992159474,4.7314493060112,25,500,L-BFGS-B,warm,True,75,1
2,6,9,jx,13,26,-18.0,-11.25,-17.743913811756475,0.25608618824352547,0.014227010457973636,4.597880820433299,25,500,L-BFGS-B,random_12,True,12906,424
2,6,9,jx,14,28,-18.0,-11.25,-17.743913811802823,0.25608618819717677,0.01422701045539871,7.115112408002218,25,500,L-BFGS-B,warm,True,116,2
2,6,9,jx,15,30,-18.0,-11.25,-17.74391381181509,0.25608618818490925,0.01422701045471718,8.334242153167725,25,500,L-BFGS-B,warm,True,93,1
2,6,9,jx,16,32,-18.0,-11.25,-17.784721142053456,0.21527885794654367,0.01195993655258576,11.405351861317952,25,500,L-BFGS-B,random_1,False,15015,424
2,6,9,jx,17,34,-18.0,-11.25,-17.87714574247284,0.12285425752715895,0.006825236529286609,14.636642519632975,25,500,L-BFGS-B,warm,False,15015,397
2,6,9,jx,18,36,-18.0,-11.25,-17.888168404147073,0.11183159585292657,0.006212866436273699,16.39592991669973,25,500,L-BFGS-B,warm,False,15022,377
2,6,9,jx,19,38,-18.0,-11.25,-17.896261774294544,0.10373822570545599,0.0057632347614142215,17.55798519452413,25,500,L-BFGS-B,warm,False,15015,361
2,6,9,jx,20,40,-18.0,-11.25,-17.89628861962532,0.10371138037467986,0.005761743354148881,18.66926132440567,25,500,L-BFGS-B,warm,False,15006,345
3,6,12,jx,1,2,-24.0,-14.999999999999998,-18.25023314721672,5.7497668527832815,0.23957361886597006,0.00400315523147583,25,500,L-BFGS-B,random_9,True,42,9
3,6,12,jx,2,4,-24.0,-14.999999999999998,-19.634498517514743,4.365501482485257,0.1818958951035524,0.018629380067189536,25,500,L-BFGS-B,random_21,True,105,12
3,6,12,jx,3,6,-24.0,-14.999999999999998,-20.289399640245627,3.7106003597543733,0.1546083483230989,0.059468714396158855,25,500,L-BFGS-B,random_12,True,252,22
3,6,12,jx,4,8,-24.0,-14.999999999999998,-20.6026278037757,3.3973721962242998,0.14155717484267916,0.12757663329442342,25,500,L-BFGS-B,random_22,True,441,28
3,6,12,jx,5,10,-24.0,-14.999999999999998,-21.079561221750634,2.920438778249366,0.12168494909372359,0.28133471409479777,25,500,L-BFGS-B,random_23,True,968,58
3,6,12,jx,6,12,-24.0,-14.999999999999998,-21.940878760532268,2.059121239467732,0.0857967183111555,0.5326629956563314,25,500,L-BFGS-B,random_22,True,1326,73
3,6,12,jx,7,14,-24.0,-14.999999999999998,-23.011328851268306,0.9886711487316937,0.04119463119715391,0.869139536221822,25,500,L-BFGS-B,random_8,True,1140,63
3,6,12,jx,8,16,-24.0,-14.999999999999998,-23.011328851277828,0.9886711487221724,0.04119463119675718,1.1842845598856608,25,500,L-BFGS-B,warm,True,51,1
3,6,12,jx,9,18,-24.0,-14.999999999999998,-23.01132885128125,0.9886711487187512,0.04119463119661463,1.7125292619069417,25,500,L-BFGS-B,warm,True,57,1
