grafo_id,num_edges,ground_energy,iteraciones,energia_final,diferencia_ground,gradiente_final,runtime_min,initial_energy
1,6,-12.0,44,-11.999485745327359,0.0005142546726411013,0.008411893055609855,20.178230420748392,-12.000000000000002
2,11,-20.0,34,-19.999837678203992,0.00016232179600805807,0.009541999268057261,7.22909939289093,-12.000000000000002
3,12,-22.0,50,-21.99832593241919,0.0016740675808115668,0.020256433681100115,24.16568624575933,-12.000000000000002
4,8,-16.0,27,-15.999999999988395,1.1604939231801836e-11,8.361095068182281e-06,3.6003785729408264,-12.000000000000002
5,9,-16.0,30,-15.999993555080868,6.4449191317095256e-06,0.008320065787201689,4.953578130404154,-12.000000000000002
6,11,-20.0,50,-19.994381766648747,0.00561823335125311,0.0660315273928607,26.61398516893387,-12.000000000000002
7,11,-20.0,50,-19.95166137613868,0.04833862386131926,0.33089696590378453,20.138616335391998,-12.000000000000002
8,13,-22.0,50,-21.97198949329164,0.028010506708358918,0.2601238961410262,21.883502050240836,-12.000000000000002
9,9,-18.0,50,-17.995473652979612,0.004526347020387789,0.034220418573641595,21.50326685110728,-12.000000000000002
10,8,-16.0,50,-15.917381567332727,0.08261843266727276,0.08402512809025989,21.990290208657584,-12.000000000000002
11,7,-14.0,43,-13.999999839533041,1.6046695883176199e-07,0.00038614017137964733,20.244401915868124,-12.000000000000002
12,7,-14.0,50,-13.997108547389953,0.002891452610047196,0.02395859087502684,30.130372941493988,-12.000000000000002
13,6,-12.0,34,-11.999812310807632,0.0001876891923675572,0.004038208236717784,6.050870593388876,-12.000000000000002
14,12,-22.0,50,-21.994142489991024,0.005857510008976163,0.058186454029001695,23.190679212411244,-12.000000000000002
15,10,-20.0,50,-19.992974713714336,0.007025286285664123,0.0992782628665035,23.759728451569874,-12.000000000000002
16,11,-20.0,50,-19.95148858009274,0.04851141990726049,0.12081929938973061,23.821785616874696,-12.000000000000002
17,8,-16.0,50,-15.995818175187589,0.00418182481241125,0.06345389928757245,24.6389279683431,-12.000000000000002
18,9,-18.0,50,-17.969004038197276,0.03099596180272357,0.10613473822528563,24.02392470439275,-12.000000000000002
19,9,-18.0,50,-17.951835757233436,0.04816424276656406,0.1175486083528637,23.69651477734248,-12.000000000000002
20,13,-24.0,50,-23.981500849926334,0.01849915007366576,0.03713989760828686,27.114169363180796,-12.000000000000002
21,6,-12.0,50,-11.957321054526469,0.042678945473531016,0.1565088506128458,13.249590468406677,-12.000000000000002
22,12,-22.0,46,-21.99996974295219,3.025704781123295e-05,0.005524460706832488,19.63520940542221,-12.000000000000002
23,7,-14.0,19,-13.777777777704754,0.22222222229524569,3.273477363258637e-05,1.417977468172709,-12.000000000000002
24,11,-20.0,25,-19.999963080085074,3.691991492615898e-05,0.0004841730831208575,4.554566975434621,-12.000000000000002
25,13,-24.0,50,-23.981500852510916,0.018499147489084322,0.037181187969873096,29.03353558778763,-12.000000000000002
26,7,-14.0,22,-13.999999999400584,5.994156282440599e-10,6.499574232657191e-05,1.6376949707667032,-12.000000000000002
27,7,-14.0,45,-13.99841813580006,0.0015818641999398864,0.009699052913110821,22.201475683848063,-12.000000000000002
28,8,-16.0,50,-15.999780818624567,0.0002191813754333083,0.004696613921415968,27.75090556939443,-12.000000000000002
29,10,-20.0,50,-19.925497832843572,0.0745021671564281,0.04720482443279698,26.403115566571554,-12.000000000000002
30,14,-24.0,50,-23.96571504331078,0.034284956689219825,0.05826653977559114,24.306605084737143,-12.000000000000002
31,9,-18.0,30,-17.999999999816417,1.8358292663833709e-10,6.263886833635592e-05,5.843753103415171,-12.000000000000002
32,9,-16.0,23,-15.99950531642461,0.0004946835753898426,0.008638471534695519,2.6799774408340453,-12.000000000000002
33,8,-16.0,18,-15.999999999964547,3.54525298007502e-11,1.4761190112905146e-05,1.5096311171849568,-12.000000000000002
34,9,-16.0,26,-15.999999999887512,1.1248779685502086e-10,6.381770609736774e-05,2.9626048763593036,-12.000000000000002
35,10,-20.0,50,-19.981806131013364,0.018193868986635664,0.05155888570087711,23.507786643505096,-12.000000000000002
36,13,-22.0,22,-21.99999999981394,1.8605916807246103e-10,3.900330417967458e-05,3.7523701310157778,-12.000000000000002
37,8,-16.0,47,-15.999756552153313,0.00024344784668706154,0.007767894963630202,17.463350172837576,-12.000000000000002
38,6,-12.0,50,-11.985748420303446,0.014251579696553662,0.050936430641025696,23.50879139502843,-12.000000000000002
39,9,-18.0,30,-17.999999997379593,2.6204070024959947e-09,8.245932482739269e-05,9.373974601427713,-12.000000000000002
40,12,-22.0,50,-21.89577425255181,0.10422574744819002,0.1606650441822284,22.02287519375483,-12.000000000000002
41,12,-22.0,50,-21.974741440684916,0.025258559315084028,0.010872991136013588,30.11212327480316,-12.000000000000002
42,6,-12.0,39,-11.9999380934611,6.190653889959208e-05,0.007909985711436833,12.279659620920818,-12.000000000000002
43,7,-14.0,30,-13.851851318929453,0.14814868107054657,0.0008712403561284777,4.705438796679179,-12.000000000000002
44,9,-16.0,50,-15.973069965422406,0.026930034577594242,0.17847502016906683,20.560487715403237,-12.000000000000002
45,7,-14.0,50,-13.984457255333163,0.015542744666836583,0.19494825395425494,19.10697971979777,-12.000000000000002
46,10,-18.0,50,-17.998490250888256,0.00150974911174373,0.01538402112860931,24.289439566930135,-12.000000000000002
47,11,-20.0,50,-19.963421800982616,0.03657819901738435,0.0849702038795497,23.102766756216685,-12.000000000000002
48,7,-14.0,17,-13.99999999994487,5.512923451078677e-11,3.350708041584329e-05,1.1091269652048747,-12.000000000000002
49,6,-12.0,24,-11.999999999518575,4.814246779005771e-10,5.538423240730687e-05,1.8489166975021363,-12.000000000000002
50,14,-24.0,50,-23.990788761667467,0.0092112383325329,0.13049747632059794,25.634871649742127,-12.000000000000002
51,8,-16.0,15,-15.999999999992447,7.553069281129865e-12,1.5713845142959597e-05,1.1225491563479106,-12.000000000000002
52,13,-24.0,50,-23.97132057111993,0.028679428880071356,0.4252291639714647,26.728111437956493,-12.000000000000002
53,10,-18.0,27,-17.999999931043106,6.895689352859335e-08,0.00016618236638614561,4.420642455418904,-12.000000000000002
54,9,-18.0,50,-17.965603516015474,0.03439648398452633,0.15444679049719348,23.138994908332826,-12.000000000000002
55,14,-24.0,39,-22.999915958763584,1.0000840412364163,0.005655400660542491,15.304469927151997,-12.000000000000002
56,10,-20.0,15,-19.99999999998054,1.9461765532469144e-11,4.646173971637573e-05,1.3843384782473247,-12.000000000000002
57,8,-14.0,25,-13.999868462357648,0.00013153764235163123,0.009667243532939452,2.988210411866506,-12.000000000000002
58,9,-18.0,29,-17.975306299274827,0.024693700725173073,0.002165898640696458,4.815066194534301,-12.000000000000002
59,13,-24.0,50,-23.964029232304043,0.035970767695957306,0.11475301871278157,26.334684173266094,-12.000000000000002
60,8,-16.0,50,-15.983541049201156,0.016458950798844185,0.12244162060485808,29.0633580327034,-12.000000000000002
61,10,-18.0,50,-17.999950224355747,4.977564425345804e-05,0.012523785728898775,24.186796263853708,-12.000000000000002
62,10,-20.0,50,-19.883036314457875,0.11696368554212455,0.16389732142474858,28.69181937376658,-12.000000000000002
63,14,-24.0,34,-22.99972854567652,1.0002714543234816,0.008127569071728001,11.034560414155324,-12.000000000000002
64,13,-24.0,42,-23.999999999262776,7.372236154878919e-10,8.1877038883133e-05,15.99476624727249,-12.000000000000002
