grafo_id,n,l,num_edges,initial_energy,initial_problem_energy,ground_energy,first_excited_energy,spectral_gap,ground_degeneracy,final_energy,difference_ground,iterations,num_ansatz_ops,pool_size,final_gradient_norm,final_max_gradient,converged,stop_reason,optimizer_success,optimizer_status,optimizer_nfev,optimizer_njev,optimizer_nit,runtime_min
1,6,2,10,-12.000000000000002,-13.333333333333359,-20.0,-20.0,0.0,12,-19.987705105494154,0.012294894505846088,40,40,1184,0.12685367440161663,0.018593557358588017,False,max_iteration_reached,True,0,41,1,0,12.746754097938538
2,6,2,11,-12.000000000000002,-14.666666666666659,-18.0,-18.0,0.0,180,-17.999999882625865,1.1737413529999685e-07,33,33,1600,6.43758944215641e-05,1.1015532480952422e-05,True,gradient_norm_below_epsilon,True,0,34,1,0,6.6766067544619245
3,6,2,11,-12.000000000000002,-14.666666666666625,-22.0,-22.0,0.0,6,-21.89370564565068,0.10629435434931978,40,40,1482,0.1495429937375896,0.014322770860865483,False,max_iteration_reached,True,0,41,1,0,11.715808963775634
4,6,2,11,-12.000000000000002,-14.666666666666648,-20.0,-20.0,0.0,48,-19.92476884397265,0.07523115602734975,40,40,1432,0.23237459831810628,0.04051003990505382,False,max_iteration_reached,True,0,41,1,0,10.593534274895985
