n,num_edges,E0_exacta,E_final,diferencia,ratio_E_E0,iteraciones,ops_ansatz,pool_size,grad_final_norm,runtime_min,optimizer_success,optimizer_message
4,6,-10.0,-9.99999638873801,3.6112619898887033e-06,0.9999996388738011,21,21,624,0.005953590246356956,0.02071247895558675,True,Optimization terminated successfully.
5,10,-16.0,-15.999952349132311,4.765086768898641e-05,0.9999970218207694,15,15,1400,0.005429214097176652,0.04568676153818766,True,Optimization terminated successfully.
6,15,-24.0,-23.999504894055406,0.0004951059445943429,0.9999793705856419,33,33,2724,0.009679511537061933,10.863070686658224,True,Optimization terminated successfully.
7,21,-32.0,-31.979120706648217,0.020879293351782735,0.9993475220827568,50,50,4802,0.21662329578891326,188.16527563730875,True,Optimization terminated successfully.
