grafo_id,num_edges,ground_energy,ground_degeneracy,spectral_gap,iteraciones,energia_final,diferencia_ground,approx_ratio,gradiente_final,pool_size,runtime_min,initial_energy,converged
48,8,-16.0,6,0.0,14,-15.796255499460262,0.20374450053973803,0.9872659687162664,1.7038948396914603e-05,904,0.7242777983347575,-10.000000000000002,1
49,5,-10.0,36,0.0,42,-9.999303333108347,0.0006966668916525975,0.9999303333108347,0.009184383383843212,404,13.332216481367746,-10.000000000000002,1
50,5,-10.0,24,0.0,25,-9.999999999910516,8.948397578478762e-11,0.9999999999910516,1.6620882752048542e-05,404,0.47815804481506347,-10.000000000000002,1
51,6,-12.0,18,0.0,50,-11.997803825904422,0.0021961740955784848,0.9998169854920351,0.026837122378436044,534,3.52902375459671,-10.000000000000002,0
52,7,-14.0,6,0.0,50,-13.998128321353935,0.001871678646065078,0.9998663086681382,0.028944796435943335,740,4.802528051535289,-10.000000000000002,0
53,8,-16.0,6,0.0,50,-15.981144741091745,0.018855258908255124,0.998821546318234,0.11505947725955902,904,2.450334350268046,-10.000000000000002,0
54,9,-16.0,18,0.0,23,-15.999505314058917,0.0004946859410832616,0.9999690821286823,0.008666143237848615,1152,0.4906424125035604,-10.000000000000002,1
55,6,-12.0,12,0.0,12,-11.999999999876819,1.2318146502821037e-10,0.9999999999897349,2.5549622469585176e-05,568,0.14118045568466187,-10.000000000000002,1
56,5,-10.0,24,0.0,25,-9.99999999993079,6.921041517671256e-11,0.999999999993079,1.586063010139627e-05,404,7.54141663312912,-10.000000000000002,1
57,7,-14.0,6,0.0,50,-13.991566926343536,0.008433073656464174,0.9993976375959669,0.11058850277116353,740,18.533490204811095,-10.000000000000002,0
58,5,-10.0,18,0.0,26,-9.999991061674958,8.938325041896178e-06,0.9999991061674958,0.008915128090305455,464,3.405464291572571,-10.000000000000002,1
59,10,-16.0,90,0.0,15,-15.99995234914215,4.7650857849745876e-05,0.9999970218213844,0.0054400609499052335,1400,0.9713268717130025,-10.000000000000002,1
60,6,-12.0,12,0.0,50,-11.997785230278847,0.002214769721152976,0.9998154358565706,0.009549699259385955,568,23.81487495501836,-10.000000000000002,1
61,6,-12.0,18,0.0,50,-11.998181054777316,0.0018189452226842207,0.999848421231443,0.02124376039862217,534,19.29138925472895,-10.000000000000002,0
62,5,-10.0,24,0.0,23,-9.999999999932857,6.714273581565067e-11,0.9999999999932857,2.09319652624196e-05,404,11.472220122814178,-10.000000000000002,1
63,5,-10.0,36,0.0,44,-9.999245606973117,0.0007543930268827381,0.9999245606973117,0.00944033202160381,404,17.697285548845926,-10.000000000000002,1
64,8,-14.0,42,0.0,50,-13.998993677012582,0.0010063229874184287,0.999928119786613,0.037671616511220085,946,18.16448976198832,-10.000000000000002,0
65,5,-10.0,30,0.0,50,-9.991263434281167,0.008736565718832523,0.9991263434281168,0.03883960432207308,370,24.888500289122263,-10.000000000000002,0
66,7,-14.0,6,0.0,35,-13.999671623987151,0.00032837601284896323,0.9999765445705108,0.009895586912607581,740,18.99697461525599,-10.000000000000002,1
67,7,-14.0,6,0.0,40,-13.923145262881944,0.07685473711805635,0.9945103759201388,0.008560048900057113,782,11.956942502657572,-10.000000000000002,1
68,8,-16.0,6,0.0,50,-15.99745915077085,0.0025408492291507656,0.9998411969231781,0.02492790307148248,904,20.49385069211324,-10.000000000000002,0
69,8,-14.0,42,0.0,31,-13.9995822532354,0.0004177467645991584,0.9999701609453858,0.00875748870489503,946,3.4975992878278097,-10.000000000000002,1
70,7,-14.0,6,0.0,50,-13.997461195942288,0.0025388040577123405,0.9998186568530205,0.050539937275052196,740,20.340589384237926,-10.000000000000002,0
71,5,-10.0,18,0.0,29,-9.999959084806175,4.091519382498632e-05,0.9999959084806175,0.009184520685202164,464,4.008538953463236,-10.000000000000002,1
72,7,-14.0,12,0.0,50,-13.969490610554475,0.03050938944552506,0.9978207578967482,0.04499756700982933,698,9.223225390911102,-10.000000000000002,0
73,6,-12.0,12,0.0,44,-11.999952174388012,4.782561198801716e-05,0.9999960145323343,0.001848141637490025,568,5.456243153413137,-10.000000000000002,1
74,7,-14.0,12,0.0,50,-13.997650925286003,0.0023490747139973678,0.9998322089490002,0.043135523957989745,698,16.094261610507964,-10.000000000000002,0
75,5,-10.0,36,0.0,50,-9.994974627124398,0.00502537287560223,0.9994974627124398,0.030258376957604142,404,23.32703059911728,-10.000000000000002,0
76,5,-10.0,30,0.0,50,-9.991263433498128,0.008736566501871934,0.9991263433498128,0.0388279495309821,370,18.52133962313334,-10.000000000000002,0
77,8,-14.0,42,0.0,10,-13.999999999994188,5.8122395785176195e-12,0.9999999999995849,1.2546448354539688e-05,946,0.0819335142771403,-10.000000000000002,1
78,6,-12.0,18,0.0,50,-11.996235767642824,0.003764232357175601,0.9996863139702353,0.03980538446527261,534,2.2353976209958395,-10.000000000000002,0
79,8,-16.0,6,0.0,28,-15.999766595409195,0.00023340459080500864,0.9999854122130747,0.0037685835934902507,904,0.5664722800254822,-10.000000000000002,1
80,5,-10.0,18,0.0,37,-9.999983000386317,1.6999613682955328e-05,0.9999983000386317,0.0047456004545901554,464,1.0108343561490376,-10.000000000000002,1
81,7,-14.0,6,0.0,44,-13.994180075876667,0.005819924123333209,0.9995842911340477,0.009287446429359898,782,3.5344317237536114,-10.000000000000002,1
82,8,-14.0,42,0.0,25,-13.999999833737448,1.6626255217033759e-07,0.9999999881241034,0.00027675561245189183,946,1.0587772528330486,-10.000000000000002,1
83,8,-14.0,42,0.0,50,-13.998712712575836,0.001287287424164063,0.999908050898274,0.035550791935571396,946,5.758711087703705,-10.000000000000002,0
84,6,-12.0,30,0.0,50,-11.966359328644709,0.033640671355291474,0.9971966107203923,0.07259722980579626,534,2.146707848707835,-10.000000000000002,0
85,7,-14.0,6,0.0,23,-13.999999999948072,5.192823948618752e-11,0.9999999999962909,1.1463406733303765e-05,740,0.27530181805292764,-10.000000000000002,1
86,6,-12.0,12,0.0,10,-11.999999999998964,1.035616037370346e-12,0.9999999999999137,3.915985725206022e-06,576,0.060309334595998125,-10.000000000000002,1
87,8,-16.0,6,0.0,50,-15.94235473925422,0.05764526074577958,0.9963971712033888,0.31372759045076853,904,1.9826958457628885,-10.000000000000002,0
88,6,-10.0,108,0.0,23,-9.999999999794676,2.0532375799575675e-10,0.9999999999794676,5.027822063773e-05,628,0.25711793502171837,-10.000000000000002,1
89,6,-12.0,12,0.0,12,-11.999999999879806,1.2019363282433915e-10,0.9999999999899839,2.3328775544876607e-05,568,0.07333330710728964,-10.000000000000002,1
90,7,-14.0,6,0.0,50,-13.99434919456955,0.0056508054304504896,0.9995963710406821,0.07574148859267214,740,1.7637732903162637,-10.000000000000002,0
91,5,-10.0,24,0.0,15,-9.999999999661298,3.3870151128212456e-10,0.9999999999661299,4.372196284650576e-05,480,0.11845962206522624,-10.000000000000002,1
92,7,-14.0,6,0.0,50,-13.9981286163223,0.0018713836777006776,0.999866329737307,0.02890775266249768,740,2.013042652606964,-10.000000000000002,0
93,5,-10.0,36,0.0,50,-9.994974627280714,0.005025372719286381,0.9994974627280714,0.030264965300809094,404,2.057223844528198,-10.000000000000002,0
94,5,-10.0,24,0.0,25,-9.999999997227972,2.772027940523003e-09,0.9999999997227972,8.141050660606062e-05,438,0.2767768263816833,-10.000000000000002,1
95,6,-12.0,18,0.0,41,-11.999766894041423,0.00023310595857672922,0.9999805745034519,0.009109338944339662,534,1.098259166876475,-10.000000000000002,1
96,5,-10.0,24,0.0,13,-9.999999999441235,5.587654783312246e-10,0.9999999999441235,8.683809331081789e-05,404,0.09583545128504435,-10.000000000000002,1
97,6,-12.0,12,0.0,45,-11.999416054020571,0.0005839459794287905,0.9999513378350476,0.009546292684523762,610,1.067236105600993,-10.000000000000002,1
98,6,-12.0,12,0.0,12,-11.999999999877188,1.2281198280561512e-10,0.9999999999897656,2.5544910421095427e-05,568,0.09851662317911784,-10.000000000000002,1
99,6,-12.0,12,0.0,44,-11.999998462335299,1.5376647013454203e-06,0.9999998718612749,0.009442995345002508,610,1.7282479206720989,-10.000000000000002,1
100,5,-10.0,24,0.0,25,-9.999999998365476,1.6345236275583375e-09,0.9999999998365476,5.186861627585364e-05,438,0.30291337966918946,-10.000000000000002,1
101,6,-12.0,12,0.0,28,-11.999999999834928,1.6507151201494707e-10,0.999999999986244,9.36786544173279e-06,568,0.40608954429626465,-10.000000000000002,1
102,6,-12.0,12,0.0,13,-11.999999999996007,3.993250174971763e-12,0.9999999999996673,1.946775072312431e-05,576,0.08509377638498943,-10.000000000000002,1
103,6,-12.0,18,0.0,50,-11.998181055140508,0.0018189448594920776,0.999848421261709,0.021236584919362936,534,1.7945666472117106,-10.000000000000002,0
104,6,-12.0,18,0.0,50,-11.99629308785177,0.003706912148230046,0.9996910906543142,0.028414670572960727,534,2.461074193318685,-10.000000000000002,0
105,5,-10.0,36,0.0,40,-9.99965747294586,0.0003425270541406178,0.999965747294586,0.00954864037937153,404,1.1165756980578105,-10.000000000000002,1
106,6,-12.0,12,0.0,18,-11.851851851832071,0.14814814816792854,0.9876543209860059,2.0172762715704684e-05,610,0.2510723312695821,-10.000000000000002,1
107,5,-10.0,36,0.0,50,-9.99497462706059,0.005025372939410744,0.9994974627060589,0.03026919128551622,404,7.614069676399231,-10.000000000000002,0
108,5,-10.0,24,0.0,28,-9.999999997437733,2.5622668431424245e-09,0.9999999997437733,0.00011173373658157721,404,0.9653920690218608,-10.000000000000002,1
109,8,-14.0,42,0.0,28,-13.999999999594671,4.0532910361434915e-10,0.9999999999710479,2.9351905968351396e-05,946,1.1831744114557903,-10.000000000000002,1
110,6,-12.0,12,0.0,50,-11.998751049758432,0.0012489502415675702,0.9998959208132027,0.013023787599377319,610,2.501383352279663,-10.000000000000002,0
111,8,-16.0,6,0.0,22,-15.999983533358138,1.6466641861612175e-05,0.9999989708348836,0.004722773339327495,904,0.25418835083643593,-10.000000000000002,1
112,5,-10.0,24,0.0,30,-9.99999999955457,4.454303592638098e-10,0.999999999955457,3.4364999431343916e-05,438,0.3757133682568868,-10.000000000000002,1
113,5,-10.0,24,0.0,28,-9.999999999561508,4.3849190944911243e-10,0.9999999999561509,6.557682246560793e-05,438,0.39087596734364827,-10.000000000000002,1
114,6,-12.0,12,0.0,34,-11.999946472696019,5.352730398122674e-05,0.9999955393913349,0.008348826263531983,610,0.8479966839154561,-10.000000000000002,1
115,6,-12.0,12,0.0,50,-11.997785229659193,0.0022147703408066377,0.9998154358049328,0.009567194721344137,568,2.326591122150421,-10.000000000000002,1
116,7,-14.0,6,0.0,50,-13.99716390028036,0.0028360997196408277,0.9997974214485971,0.03029317192131302,740,1.7953350702921549,-10.000000000000002,0
117,6,-12.0,12,0.0,50,-11.997785105066182,0.002214894933818101,0.9998154254221818,0.009448247336553696,568,2.2489461302757263,-10.000000000000002,1
118,7,-14.0,6,0.0,49,-13.999939782719938,6.021728006189164e-05,0.9999956987657098,0.009786079321324179,782,2.492561856905619,-10.000000000000002,1
119,6,-12.0,12,0.0,50,-11.997785231177584,0.0022147688224158912,0.9998154359314654,0.009521416549127738,568,2.2305917501449586,-10.000000000000002,1
120,8,-16.0,6,0.0,50,-15.976529851472915,0.0234701485270854,0.9985331157170572,0.17473952765356704,904,1.5021668473879497,-10.000000000000002,0
121,7,-14.0,12,0.0,50,-13.998406484013374,0.0015935159866256043,0.9998861774295268,0.020116233829270257,698,2.0217706203460692,-10.000000000000002,0
122,8,-14.0,42,0.0,50,-13.998858047533234,0.0011419524667655168,0.9999184319666596,0.031028196515703436,946,2.87929744720459,-10.000000000000002,0
123,7,-14.0,6,0.0,50,-13.999915797402533,8.420259746699799e-05,0.9999939855287524,0.007959079983429748,782,7.958680287996928,-10.000000000000002,1
124,5,-10.0,24,0.0,25,-9.99999999990784,9.21591691849244e-11,0.999999999990784,1.4840922602910844e-05,404,0.917379375298818,-10.000000000000002,1
