grafo_id,n,l,num_edges,initial_energy,initial_problem_energy,ground_energy,first_excited_energy,spectral_gap,ground_degeneracy,final_energy,difference_ground,iterations,num_ansatz_ops,pool_size,final_gradient_norm,final_max_gradient,converged,stop_reason,optimizer_success,optimizer_status,optimizer_nfev,optimizer_njev,optimizer_nit,runtime_min
1,6,2,6,-12.000000000000002,-7.999999999999955,-12.0,-12.0,0.0,66,-11.968528059655384,0.0314719403446162,40,40,444,0.07179638474521483,0.01273811638092472,False,max_iteration_reached,True,0,41,1,0,17.448317261536918
2,6,2,9,-12.000000000000002,-12.000000000000005,-18.0,-18.0,0.0,12,-17.87713533409953,0.12286466590046885,40,40,936,0.3344313037769885,0.06522562494381419,False,max_iteration_reached,True,0,41,1,0,16.511290995279946
3,6,2,12,-12.000000000000002,-15.999999999999957,-24.0,-24.0,0.0,6,-23.851851851689844,0.1481481483101561,22,22,1680,3.87969430201435e-05,6.4813071578685905e-06,True,gradient_norm_below_epsilon,True,0,23,1,0,3.9398842573165895
4,6,2,15,-12.000000000000002,-19.9999999999999,-24.0,-24.0,0.0,90,-23.99961984323398,0.00038015676602043413,40,40,2724,0.007331729425112739,0.0008359687058364264,False,max_iteration_reached,True,0,41,1,0,16.902676649888356
