grafo_id,num_edges,ground_energy,ground_degeneracy,spectral_gap,iteraciones,energia_final,diferencia_ground,approx_ratio,gradiente_final,pool_size,runtime_min,initial_energy,converged
1,6,-12.0,12,0.0,12,-11.777777777639152,0.22222222236084832,0.9814814814699293,1.2056467364975564e-05,29,0.8608315388361613,-10.000000000000002,1
2,6,-12.0,12,0.0,9,-11.88561808244655,0.11438191755344995,0.9904681735372125,2.5668508950520534e-05,29,0.6810348431269327,-10.000000000000002,1
3,7,-14.0,6,0.0,12,-13.669750411862863,0.33024958813713745,0.9764107437044902,8.169627982481048e-06,33,0.9526964426040649,-10.000000000000002,1
4,8,-14.0,42,0.0,9,-13.768515843883103,0.2314841561168972,0.9834654174202216,0.008472312778947827,37,0.4689600149790446,-10.000000000000002,1
5,5,-10.0,24,0.0,12,-9.942809029714907,0.057190970285093456,0.9942809029714906,1.840315890613309e-05,25,0.8158703287442525,-10.000000000000002,1
6,7,-12.0,72,0.0,13,-11.999999990131116,9.868884376373899e-09,0.999999999177593,0.0001054004261313119,33,0.6499562859535217,-10.000000000000002,1
7,8,-14.0,42,0.0,14,-13.911720968307616,0.08827903169238382,0.9936943548791154,0.006555723095439971,37,1.0112672328948975,-10.000000000000002,1
8,7,-14.0,6,0.0,12,-13.669750411871526,0.33024958812847416,0.9764107437051089,4.00279880159661e-07,33,0.5745851159095764,-10.000000000000002,1
9,7,-12.0,72,0.0,13,-11.999999988502143,1.149785688880911e-08,0.9999999990418452,0.00011345334777932858,33,0.8597952723503113,-10.000000000000002,1
10,6,-12.0,18,0.0,16,-11.963131991713796,0.036868008286203846,0.9969276659761497,0.005673513922375747,29,1.3509914994239807,-10.000000000000002,1
11,9,-16.0,18,0.0,10,-15.885618083163578,0.11438191683642174,0.9928511301977236,2.6986023602923975e-07,41,0.45399165550867715,-10.000000000000002,1
12,5,-10.0,18,0.0,12,-9.726716872724213,0.2732831272757874,0.9726716872724213,0.0071453770065191624,25,0.6242589871088664,-10.000000000000002,1
13,7,-14.0,12,0.0,16,-13.938333449958467,0.061666550041532986,0.9955952464256048,0.0020150808724218555,33,1.1605718771616618,-10.000000000000002,1
14,7,-12.0,72,0.0,13,-11.999999988720186,1.1279814415843248e-08,0.9999999990600155,0.00011239515570481074,33,0.927471649646759,-10.000000000000002,1
15,7,-12.0,72,0.0,13,-11.99999998948593,1.0514069614941945e-08,0.9999999991238275,0.0001089211228879284,33,0.817897621790568,-10.000000000000002,1
16,6,-12.0,18,0.0,29,-11.909502153153575,0.09049784684642503,0.992458512762798,0.007220953973107419,29,4.953976472218831,-10.000000000000002,1
17,6,-12.0,12,0.0,20,-11.887627602287356,0.11237239771264385,0.9906356335239463,0.007081153381603249,29,1.5937915921211243,-10.000000000000002,1
18,7,-12.0,72,0.0,16,-11.777777773256632,0.22222222674336756,0.9814814811047193,0.00017480674225952108,33,1.0732511321703593,-10.000000000000002,1
19,6,-12.0,12,0.0,22,-11.962962960263749,0.03703703973625139,0.996913580021979,5.744554137852657e-05,29,2.526027544339498,-10.000000000000002,1
20,5,-10.0,36,0.0,37,-9.999569385845616,0.0004306141543839459,0.9999569385845616,0.005109511912575645,25,17.141016006469727,-10.000000000000002,1
21,7,-14.0,12,0.0,33,-13.996405363904799,0.0035946360952010536,0.9997432402789143,0.006286532937084946,33,12.894715638955434,-10.000000000000002,1
22,7,-14.0,6,0.0,36,-13.952384623552865,0.047615376447135205,0.9965989016823474,0.006937482883393078,33,14.966568414370219,-10.000000000000002,1
23,8,-16.0,6,0.0,13,-15.828783030011175,0.17121696998882463,0.9892989393756985,0.005591176180434848,37,0.8351678450902303,-10.000000000000002,1
24,5,-10.0,24,0.0,8,-9.942809036184457,0.05719096381554323,0.9942809036184457,7.77162093487673e-05,25,0.4138005057970683,-10.000000000000002,1
25,6,-12.0,12,0.0,21,-11.887709562528848,0.11229043747115242,0.9906424635440706,0.007828132026340426,29,2.0774222453435263,-10.000000000000002,1
26,5,-10.0,24,0.0,16,-9.993807989990547,0.0061920100094532415,0.9993807989990546,4.967077125079645e-06,25,1.2157405654589335,-10.000000000000002,1
27,6,-12.0,12,0.0,14,-11.999999999889532,1.1046807912862278e-10,0.9999999999907944,2.1360379311524036e-05,29,0.8751400510470072,-10.000000000000002,1
28,5,-10.0,24,0.0,18,-9.994611780856243,0.005388219143757311,0.9994611780856243,0.002900539577923297,25,1.8855945905049643,-10.000000000000002,1
29,6,-12.0,12,0.0,14,-11.999999999596888,4.0311221027877764e-10,0.9999999999664073,1.8942150251227126e-05,29,1.0890572587649028,-10.000000000000002,1
30,9,-16.0,18,0.0,21,-15.83854926124056,0.16145073875943972,0.989909328827535,0.009332874188199149,41,2.484993004798889,-10.000000000000002,1
31,6,-12.0,12,0.0,16,-11.458122847077272,0.5418771529227282,0.9548435705897726,2.2842869519442907e-05,29,1.204857381184896,-10.000000000000002,1
32,8,-14.0,42,0.0,19,-13.998352990631487,0.0016470093685132525,0.9998823564736776,0.009715461792827203,37,1.977003574371338,-10.000000000000002,1
33,6,-12.0,18,0.0,29,-11.909502153108834,0.09049784689116613,0.9924585127590695,0.007222457468554177,29,4.91556990146637,-10.000000000000002,1
34,7,-14.0,12,0.0,9,-13.564630428833658,0.43536957116634234,0.9689021734881184,4.8899588984653095e-06,33,0.5866703788439432,-10.000000000000002,1
35,6,-12.0,12,0.0,12,-11.777777777733894,0.22222222226610633,0.9814814814778244,1.1063504607023869e-05,29,0.6370746731758118,-10.000000000000002,1
36,5,-10.0,24,0.0,13,-9.777777749455907,0.2222222505440925,0.9777777749455907,5.820678671208363e-05,25,0.8324201146761576,-10.000000000000002,1
37,8,-14.0,42,0.0,19,-13.998353084583362,0.0016469154166376399,0.9998823631845258,0.009931823182245884,37,1.8205644687016804,-10.000000000000002,1
38,6,-12.0,12,0.0,7,-10.962962962962745,1.0370370370372548,0.9135802469135621,8.491029935266711e-07,29,0.4931219776471456,-10.000000000000002,1
39,5,-10.0,24,0.0,14,-9.999992595700917,7.40429908319129e-06,0.9999992595700917,0.001649725203896011,25,0.914942185084025,-10.000000000000002,1
40,7,-14.0,12,0.0,13,-13.312305185841002,0.6876948141589985,0.9508789418457858,0.0011626217278906102,33,0.7641294439633687,-10.000000000000002,1
41,8,-14.0,42,0.0,25,-13.97925574461141,0.020744255388590815,0.9985182674722435,0.008105167546798459,37,3.2911497831344603,-10.000000000000002,1
42,7,-14.0,6,0.0,8,-13.663395860825235,0.3366041391747654,0.9759568472018024,8.013673478526532e-06,33,0.38381321827570597,-10.000000000000002,1
43,6,-12.0,18,0.0,50,-11.987168731407365,0.012831268592634615,0.9989307276172804,0.016194426171655788,29,40.310477928320566,-10.000000000000002,0
44,7,-14.0,12,0.0,24,-13.909033044666188,0.09096695533381194,0.9935023603332992,0.008915736305677786,33,3.2539004921913146,-10.000000000000002,1
45,9,-16.0,18,0.0,21,-15.83854926159325,0.1614507384067494,0.9899093288495782,0.00933115089249257,41,2.1621694525082904,-10.000000000000002,1
46,7,-14.0,6,0.0,35,-13.949215631190441,0.050784368809559055,0.9963725450850315,0.008846384979447482,33,7.99312660296758,-10.000000000000002,1
47,6,-12.0,18,0.0,24,-11.975308641858014,0.024691358141986086,0.9979423868215012,1.0145631130548407e-05,29,3.133667476971944,-10.000000000000002,1
48,8,-16.0,6,0.0,10,-15.354230928601943,0.6457690713980568,0.9596394330376214,2.5678382788267647e-06,37,0.5122392098108928,-10.000000000000002,1
49,5,-10.0,36,0.0,37,-9.99956939084825,0.000430609151749195,0.9999569390848251,0.005131323051125711,25,13.259925015767415,-10.000000000000002,1
50,5,-10.0,24,0.0,17,-9.897031564787248,0.10296843521275179,0.9897031564787249,0.007287606421188191,25,1.1245144764582315,-10.000000000000002,1
51,6,-12.0,18,0.0,29,-11.90950215300301,0.09049784699699082,0.9924585127502508,0.00722090366737796,29,4.483064198493958,-10.000000000000002,1
52,7,-14.0,6,0.0,37,-13.957532348574954,0.042467651425045716,0.9969665963267824,0.0035878471942222758,33,13.969018479188284,-10.000000000000002,1
53,8,-16.0,6,0.0,25,-15.89932040975146,0.10067959024853934,0.9937075256094663,0.009555713352646437,37,2.790153956413269,-10.000000000000002,1
54,9,-16.0,18,0.0,10,-15.885618083162147,0.11438191683785348,0.9928511301976342,1.238216541942525e-06,41,0.5122082948684692,-10.000000000000002,1
55,6,-12.0,12,0.0,12,-11.777777777614968,0.22222222238503164,0.981481481467914,1.5754507323472805e-05,29,0.6691951990127564,-10.000000000000002,1
56,5,-10.0,24,0.0,17,-9.89703156422041,0.1029684357795908,0.9897031564220409,0.007277321416234945,25,1.7001853267351785,-10.000000000000002,1
57,7,-14.0,6,0.0,8,-13.663395860913573,0.33660413908642717,0.9759568472081124,5.31491820467287e-06,33,0.4010491649309794,-10.000000000000002,1
58,5,-10.0,18,0.0,13,-9.999999999973772,2.6227908733744698e-11,0.9999999999973772,1.7894147552827885e-05,25,7.581678517659506,-10.000000000000002,1
59,10,-16.0,90,0.0,18,-15.933661339281176,0.06633866071882366,0.9958538337050735,0.009756108350671899,45,0.9718498627344767,-10.000000000000002,1
60,6,-12.0,12,0.0,20,-11.895480752115871,0.10451924788412903,0.9912900626763226,0.007739873310381433,29,2.310582625865936,-10.000000000000002,1
61,6,-12.0,18,0.0,25,-11.999999999932442,6.755840331607033e-11,0.9999999999943702,8.108796994040814e-06,29,3.3574814915657045,-10.000000000000002,1
62,5,-10.0,24,0.0,11,-9.79466089308466,0.2053391069153392,0.9794660893084661,7.575706169723469e-06,25,0.6493763089179992,-10.000000000000002,1
63,5,-10.0,36,0.0,37,-9.999569380021319,0.00043061997868143465,0.9999569380021318,0.005108099370245299,25,14.437412563959757,-10.000000000000002,1
64,8,-14.0,42,0.0,14,-13.911720968255434,0.08827903174456608,0.9936943548753882,0.0065539278492774055,37,0.8075155695279439,-10.000000000000002,1
65,5,-10.0,30,0.0,18,-9.851851851127234,0.14814814887276562,0.9851851851127235,2.833198042428799e-05,25,1.2013563632965087,-10.000000000000002,1
66,7,-14.0,6,0.0,14,-13.840143471826782,0.1598565281732185,0.9885816765590558,0.005961682677491984,33,0.894162118434906,-10.000000000000002,1
67,7,-14.0,6,0.0,13,-13.669324650357332,0.330675349642668,0.9763803321683808,0.0064961784094817124,33,0.6445679068565369,-10.000000000000002,1
68,8,-16.0,6,0.0,25,-15.899320409703602,0.10067959029639795,0.9937075256064751,0.009555870778966238,37,3.387923467159271,-10.000000000000002,1
69,8,-14.0,42,0.0,7,-13.831697930468895,0.16830206953110505,0.987978423604921,1.890042129052992e-06,37,0.4306293765703837,-10.000000000000002,1
70,7,-14.0,6,0.0,36,-13.953177460860905,0.04682253913909484,0.9966555329186361,0.005835251912700137,33,13.745388869444529,-10.000000000000002,1
71,5,-10.0,18,0.0,10,-9.990667999722143,0.009332000277856523,0.9990667999722144,4.367394587361426e-05,25,0.6539456605911255,-10.000000000000002,1
72,7,-14.0,12,0.0,29,-13.973129142225785,0.02687085777421494,0.9980806530161275,0.008040812793031631,33,5.612534749507904,-10.000000000000002,1
73,6,-12.0,12,0.0,24,-11.997044299405331,0.002955700594668542,0.9997536916171109,0.007866534310296552,29,3.2266139149665833,-10.000000000000002,1
74,7,-14.0,12,0.0,22,-13.943930859387581,0.05606914061241852,0.9959950613848273,0.005016554886666712,33,2.1577388882637023,-10.000000000000002,1
75,5,-10.0,36,0.0,24,-9.999999902304316,9.769568443118715e-08,0.9999999902304315,9.526816156660849e-05,25,2.9707629601160686,-10.000000000000002,1
76,5,-10.0,30,0.0,18,-9.851851851596512,0.14814814840348767,0.9851851851596513,1.4223943605104483e-05,25,1.217080307006836,-10.000000000000002,1
77,8,-14.0,42,0.0,11,-13.771388700303193,0.22861129969680682,0.9836706214502281,0.002334843523246995,37,0.5091736714045206,-10.000000000000002,1
78,6,-12.0,18,0.0,25,-11.995580619267203,0.004419380732796796,0.9996317182722669,0.008286085723348944,29,2.5973912398020427,-10.000000000000002,1
79,8,-16.0,6,0.0,13,-15.828783029984422,0.17121697001557834,0.9892989393740264,0.005592342391724597,37,0.7159846226374308,-10.000000000000002,1
80,5,-10.0,18,0.0,13,-9.999999999968935,3.106492840743158e-11,0.9999999999968935,1.979711318403043e-05,25,0.6964696566263835,-10.000000000000002,1
81,7,-14.0,6,0.0,26,-12.835441089950557,1.1645589100494433,0.916817220710754,0.008715085117483487,33,2.919554142157237,-10.000000000000002,1
82,8,-14.0,42,0.0,15,-13.948199762945622,0.05180023705437797,0.9962999830675444,0.00239233713946252,37,1.409097182750702,-10.000000000000002,1
83,8,-14.0,42,0.0,10,-13.923745388766157,0.0762546112338427,0.9945532420547255,9.590040655669452e-05,37,0.5815051237742106,-10.000000000000002,1
84,6,-12.0,30,0.0,50,-11.98528573263811,0.01471426736189052,0.9987738110531758,0.012210849467218354,29,59.65992013613383,-10.000000000000002,0
85,7,-14.0,6,0.0,32,-13.988291094435263,0.011708905564736583,0.9991636496025188,0.00408084375077045,33,7.540767256418864,-10.000000000000002,1
86,6,-12.0,12,0.0,7,-10.96296296296268,1.0370370370373205,0.9135802469135567,8.441965980780785e-07,29,0.38669196764628094,-10.000000000000002,1
87,8,-16.0,6,0.0,25,-15.899320409791182,0.10067959020881823,0.9937075256119489,0.009548162504408281,37,3.1482115467389424,-10.000000000000002,1
88,6,-10.0,108,0.0,10,-9.996729194061269,0.0032708059387314137,0.9996729194061269,1.7968668086818053e-05,29,0.5708861947059631,-10.000000000000002,1
89,6,-12.0,12,0.0,12,-11.777777777760267,0.22222222223973276,0.9814814814800222,8.692353520089895e-06,29,0.7263398170471191,-10.000000000000002,1
90,7,-14.0,6,0.0,40,-13.990717544529232,0.009282455470767559,0.9993369674663738,0.009995507824547941,33,7.806481552124024,-10.000000000000002,1
91,5,-10.0,24,0.0,14,-9.999992595137016,7.404862984117244e-06,0.9999992595137016,0.0016465060826421007,25,1.9973680098851523,-10.000000000000002,1
92,7,-14.0,6,0.0,36,-13.952384302042644,0.04761569795735632,0.9965988787173317,0.006938930151924424,33,14.334706115722657,-10.000000000000002,1
93,5,-10.0,36,0.0,24,-9.999999895208834,1.0479116596684435e-07,0.9999999895208834,0.00011402869613390622,25,3.129715983072917,-10.000000000000002,1
94,5,-10.0,24,0.0,13,-9.777777665180702,0.22222233481929798,0.9777777665180702,8.667488932483527e-05,25,0.9575438698132833,-10.000000000000002,1
95,6,-12.0,18,0.0,29,-11.909502152839767,0.09049784716023268,0.9924585127366473,0.007221055401633552,29,4.758415738741557,-10.000000000000002,1
96,5,-10.0,24,0.0,16,-9.993807989967793,0.006192010032206596,0.9993807989967793,5.355815952197033e-06,25,1.1473611076672872,-10.000000000000002,1
97,6,-12.0,12,0.0,14,-11.999999997127357,2.8726425682634726e-09,0.9999999997606132,1.886794585772812e-05,29,0.9463206052780151,-10.000000000000002,1
98,6,-12.0,12,0.0,12,-11.777777777734526,0.22222222226547395,0.9814814814778772,9.936427873067597e-06,29,0.6835158626238506,-10.000000000000002,1
99,6,-12.0,12,0.0,13,-11.999999999995815,4.18509671362699e-12,0.9999999999996513,3.221269443052692e-06,29,0.7172855854034423,-10.000000000000002,1
100,5,-10.0,24,0.0,12,-9.942809033430258,0.057190966569741875,0.9942809033430258,1.9394170115403563e-05,25,0.6126917401949564,-10.000000000000002,1
101,6,-12.0,12,0.0,16,-11.862864597282936,0.13713540271706393,0.988572049773578,0.005826806050456203,29,1.065592058499654,-10.000000000000002,1
102,6,-12.0,12,0.0,12,-11.777753119828049,0.2222468801719515,0.9814794266523373,0.0029879426936473665,29,0.8643438220024109,-10.000000000000002,1
103,6,-12.0,18,0.0,25,-11.99999999990902,9.097966824356263e-11,0.9999999999924184,1.5709641470213835e-05,29,3.2202803532282513,-10.000000000000002,1
104,6,-12.0,18,0.0,24,-11.944564944467734,0.05543505553226602,0.9953804120389779,0.009532440920475057,29,3.0211438576380414,-10.000000000000002,1
105,5,-10.0,36,0.0,24,-9.9999999722589,2.774110008374464e-08,0.99999999722589,1.978466146731709e-05,25,3.452411123116811,-10.000000000000002,1
106,6,-12.0,12,0.0,15,-11.707242670033514,0.29275732996648607,0.9756035558361261,0.005290330722953969,29,0.8151452461878459,-10.000000000000002,1
107,5,-10.0,36,0.0,24,-9.999999969574604,3.0425395536326505e-08,0.9999999969574604,2.0402551994730373e-05,25,3.3651111563046774,-10.000000000000002,1
108,5,-10.0,24,0.0,16,-9.993807989956998,0.006192010043001517,0.9993807989956999,1.2246399051329303e-05,25,0.91049565076828,-10.000000000000002,1
109,8,-14.0,42,0.0,25,-13.97925574369189,0.0207442563081095,0.9985182674065636,0.0081057029025633,37,3.055288581053416,-10.000000000000002,1
110,6,-12.0,12,0.0,22,-11.962962960164322,0.03703703983567763,0.9969135800136936,5.8250940470527234e-05,29,2.227480737368266,-10.000000000000002,1
111,8,-16.0,6,0.0,9,-15.609475708198026,0.3905242918019738,0.9755922317623766,1.6666112802191422e-05,37,0.3518937826156616,-10.000000000000002,1
112,5,-10.0,24,0.0,16,-9.831264348671281,0.16873565132871882,0.9831264348671281,0.009092845494034137,25,1.431357498963674,-10.000000000000002,1
113,5,-10.0,24,0.0,13,-9.77777775718689,0.22222224281311043,0.977777775718689,4.0237765541303914e-05,25,1.0977739135424296,-10.000000000000002,1
114,6,-12.0,12,0.0,8,-11.885618080731012,0.11438191926898789,0.990468173394251,5.103398472311698e-05,29,0.5255940596262614,-10.000000000000002,1
115,6,-12.0,12,0.0,20,-11.895480752111915,0.10451924788808498,0.991290062675993,0.007737293542358567,29,1.770485814412435,-10.000000000000002,1
116,7,-14.0,6,0.0,21,-13.992373237404594,0.007626762595405623,0.9994552312431854,0.004815533655750078,33,2.2214181701342266,-10.000000000000002,1
117,6,-12.0,12,0.0,20,-11.895480752162037,0.10451924783796329,0.9912900626801697,0.007738914259811596,29,1.386067263285319,-10.000000000000002,1
118,7,-14.0,6,0.0,13,-13.669324650360792,0.33067534963920764,0.9763803321686281,0.006495533571189701,33,0.8234572211901346,-10.000000000000002,1
119,6,-12.0,12,0.0,20,-11.895480752098022,0.10451924790197786,0.9912900626748352,0.0077411961642296625,29,1.797063132127126,-10.000000000000002,1
120,8,-16.0,6,0.0,25,-15.899320409615015,0.10067959038498486,0.9937075256009384,0.009557972346613097,37,3.119968620936076,-10.000000000000002,1
121,7,-14.0,12,0.0,23,-13.946576716858734,0.05342328314126554,0.9961840512041953,0.006793283232624649,33,3.3721155802408855,-10.000000000000002,1
122,8,-14.0,42,0.0,26,-13.979255749845251,0.02074425015474901,0.9985182678460893,0.008084407481951762,37,3.251178534825643,-10.000000000000002,1
123,7,-14.0,6,0.0,26,-12.835441099728063,1.1645589002719365,0.9168172214091473,0.008719374308378562,33,3.391775675614675,-10.000000000000002,1
124,5,-10.0,24,0.0,17,-9.89703156470169,0.10296843529831001,0.989703156470169,0.007280771231270853,25,2.5653168400128683,-10.000000000000002,1
125,5,-10.0,24,0.0,12,-9.94280903453771,0.05719096546228997,0.994280903453771,1.2971232319941938e-05,25,2.523481555779775,-10.000000000000002,1
126,6,-12.0,18,0.0,15,-11.787546495144541,0.21245350485545877,0.9822955412620451,0.007909219022941446,29,5.087461753686269,-10.000000000000002,1
127,5,-10.0,18,0.0,20,-9.999552520421865,0.0004474795781348462,0.9999552520421865,0.0067719796413187065,25,1.3778114914894104,-10.000000000000002,1
128,6,-12.0,18,0.0,50,-11.994912640841042,0.0050873591589581935,0.9995760534034202,0.019061190801448497,29,37.20821904738744,-10.000000000000002,0
129,6,-12.0,12,0.0,21,-11.887709562644204,0.1122904373557958,0.9906424635536837,0.007828628936524617,29,1.8594213008880616,-10.000000000000002,1
130,7,-14.0,6,0.0,14,-13.671847392039062,0.3281526079609378,0.9765605280027901,0.0070371862434293235,33,1.0686639507611593,-10.000000000000002,1
131,5,-10.0,36,0.0,22,-9.999999995551303,4.448697410452951e-09,0.9999999995551303,6.499287854676151e-05,25,2.2475785414377847,-10.000000000000002,1
132,5,-10.0,24,0.0,12,-9.942809037350097,0.0571909626499032,0.9942809037350097,6.3608355397247676e-06,25,0.6350876609484355,-10.000000000000002,1
133,5,-10.0,36,0.0,22,-9.999999993593294,6.40670627660711e-09,0.9999999993593294,1.9945135629177312e-05,25,3.1101985971132913,-10.000000000000002,1
134,5,-10.0,24,0.0,14,-9.999992595345356,7.404654644105335e-06,0.9999992595345356,0.0016489235063013065,25,0.851080842812856,-10.000000000000002,1
135,7,-14.0,6,0.0,8,-13.663395860791855,0.3366041392081449,0.9759568471994182,1.1696402893857389e-05,33,0.5626745263735453,-10.000000000000002,1
