grafo_id,num_edges,ground_energy,iteraciones,energia_final,diferencia_ground,gradiente_final,runtime_min,initial_energy
1,6,-12.0,12,-11.999999999922531,7.746869812308432e-11,1.717060349105994e-05,0.8612485647201538,-10.000000000000002
2,6,-12.0,9,-10.964766078048148,1.0352339219518516,2.388644173244384,34.89725705385208,-10.000000000000002
3,7,-14.0,12,-13.510843276025728,0.489156723974272,0.8630321412241418,12.173528516292572,-10.000000000000002
4,8,-14.0,9,-13.621828600019116,0.378171399980884,1.2627417549415287,25.527454141775767,-10.000000000000002
5,5,-10.0,12,-9.729871383422562,0.2701286165774377,1.4565797763453567,3.1782343705495197,-10.000000000000002
6,7,-12.0,13,-11.980649074339775,0.019350925660225116,0.3275147892160937,3.774174610773722,-10.000000000000002
7,8,-14.0,14,-13.794733696017294,0.20526630398270562,1.1010790046218808,25.188353657722473,-10.000000000000002
8,7,-14.0,12,-13.56913590415873,0.4308640958412706,0.8496045840992539,9.558395683765411,-10.000000000000002
9,7,-12.0,13,-11.99734070366256,0.002659296337439443,0.10713848248733841,9.414219919840495,-10.000000000000002
10,6,-12.0,16,-11.977363859187406,0.022636140812593908,0.3592946055520082,4.103553215662639,-10.000000000000002
11,9,-16.0,10,-15.913008236863572,0.08699176313642809,1.2447780358143785,1.3324920813242593,-10.000000000000002
12,5,-10.0,11,-9.999999999997815,2.184918912462308e-12,3.6151922550994955e-06,0.6390611092249553,-10.000000000000002
13,7,-14.0,16,-13.794450660488906,0.20554933951109433,0.35064191637767766,24.24380051692327,-10.000000000000002
14,7,-12.0,13,-11.925689249403545,0.07431075059645487,0.5529341681609318,1.3355452100435892,-10.000000000000002
15,7,-12.0,13,-11.883543874322333,0.11645612567766683,0.8075665903471572,5.376523542404175,-10.000000000000002
16,6,-12.0,29,-11.929274187952181,0.07072581204781869,0.08111957547143984,28.91463913520177,-10.000000000000002
17,6,-12.0,20,-11.988882025473478,0.01111797452652219,0.10030447513028404,10.764754891395569,-10.000000000000002
18,7,-12.0,14,-11.999999999993308,6.6915362140207435e-12,1.568205130770159e-05,1.1850418210029603,-10.000000000000002
19,6,-12.0,22,-11.889792130758106,0.11020786924189352,0.5830290177492545,25.315113445123036,-10.000000000000002
20,5,-10.0,37,-9.998361208170751,0.0016387918292490866,0.02320285870612859,16.879721359411874,-10.000000000000002
21,7,-14.0,33,-13.994552345152405,0.005447654847595018,0.06877618700020138,10.17445302804311,-10.000000000000002
22,7,-14.0,36,-13.89490569503718,0.10509430496282057,0.12308431544680173,33.0514918923378,-10.000000000000002
23,8,-16.0,13,-15.60595778992002,0.39404221007998075,1.3668979044536902,3.208078181743622,-10.000000000000002
24,5,-10.0,8,-9.048276216701408,0.9517237832985916,1.9114025772052257,38.041029898325604,-10.000000000000002
25,6,-12.0,21,-11.83720548411871,0.16279451588128957,0.14539147317068504,21.18331853548686,-10.000000000000002
26,5,-10.0,16,-9.804865671721004,0.19513432827899635,0.7717557293740925,10.827809349695842,-10.000000000000002
27,6,-12.0,14,-11.769583774096173,0.23041622590382715,0.9245823374339162,22.702708264191944,-10.000000000000002
28,5,-10.0,18,-9.99274596706257,0.00725403293743021,0.12745136002488502,2.9707865595817564,-10.000000000000002
29,6,-12.0,14,-11.670069437607086,0.32993056239291363,0.8247369917580795,24.919554062684377,-10.000000000000002
30,9,-16.0,21,-15.99835599004029,0.0016440099597101465,0.06882359715538426,3.4908339381217957,-10.000000000000002
31,6,-12.0,16,-11.946204754295191,0.053795245704808536,0.35798767812549703,14.889929648240408,-10.000000000000002
32,8,-14.0,15,-13.999999999993129,6.870948254800169e-12,1.3411043932582357e-05,3.5904199401537578,-10.000000000000002
33,6,-12.0,29,-11.95310491344712,0.04689508655287966,0.03971004594364604,11.923551619052887,-10.000000000000002
34,7,-14.0,9,-13.628657465425068,0.37134253457493216,0.6831849419323515,1.9971054514249167,-10.000000000000002
35,6,-12.0,12,-11.784382692632867,0.21561730736713258,0.5483542162086298,31.126701434453327,-10.000000000000002
36,5,-10.0,13,-9.773764855043327,0.2262351449566733,1.4137814225122043,3.226687180995941,-10.000000000000002
37,8,-14.0,15,-13.999999999994744,5.256239887785341e-12,1.1645058874267411e-05,1.5239551027615865,-10.000000000000002
38,6,-12.0,7,-11.419775562411148,0.5802244375888517,3.148553610417564,0.5264310002326965,-10.000000000000002
39,5,-10.0,14,-9.79854062444673,0.2014593755532701,0.7885218548315328,1.33347749710083,-10.000000000000002
40,7,-14.0,13,-13.12704556823181,0.8729544317681892,1.6945794037390076,16.488884190718334,-10.000000000000002
41,8,-14.0,25,-13.987316021973033,0.012683978026966969,0.18738026424826096,3.2180413444836935,-10.000000000000002
42,7,-14.0,8,-13.144652638585793,0.8553473614142071,2.6375890703069955,4.231595559914907,-10.000000000000002
43,6,-12.0,50,-11.996709712246574,0.003290287753426213,0.0585929821715125,3.1255713144938153,-10.000000000000002
44,7,-14.0,24,-13.98554563439123,0.014454365608770559,0.21433656273934468,14.462210194269817,-10.000000000000002
45,9,-16.0,21,-15.979018011507696,0.020981988492303927,0.267608676108569,7.154441742102305,-10.000000000000002
46,7,-14.0,35,-13.835607533911313,0.16439246608868707,0.22588227163545208,19.900912137826285,-10.000000000000002
47,6,-12.0,24,-11.794759979269779,0.20524002073022096,0.4297668270095147,18.585386935869852,-10.000000000000002
48,8,-16.0,10,-15.614152572359425,0.38584742764057545,0.5766782896692904,0.7242777983347575,-10.000000000000002
49,5,-10.0,37,-9.99853951998706,0.0014604800129394135,0.022848779215569312,13.332216481367746,-10.000000000000002
50,5,-10.0,17,-9.94591807447058,0.05408192552942026,0.531624384829048,0.47815804481506347,-10.000000000000002
51,6,-12.0,29,-11.929274188082589,0.07072581191741101,0.08111797594579469,3.52902375459671,-10.000000000000002
52,7,-14.0,37,-13.911645138949641,0.08835486105035883,0.3120106347905995,4.802528051535289,-10.000000000000002
53,8,-16.0,25,-15.859922353803393,0.14007764619660712,0.3763147898272582,2.450334350268046,-10.000000000000002
54,9,-16.0,10,-15.69019883676632,0.30980116323367923,2.8727494722643465,0.4906424125035604,-10.000000000000002
55,6,-12.0,12,-11.999999999876827,1.2317258324401337e-10,2.5549622469585176e-05,0.14118045568466187,-10.000000000000002
56,5,-10.0,17,-9.945918074468244,0.05408192553175617,0.531623572546801,7.54141663312912,-10.000000000000002
57,7,-14.0,8,-13.144652638586402,0.8553473614135978,2.637587240585725,18.533490204811095,-10.000000000000002
58,5,-10.0,13,-9.821805118762521,0.17819488123747895,0.47474375829145904,3.405464291572571,-10.000000000000002
59,10,-16.0,15,-15.999952349142154,4.765085784619316e-05,0.0054400609499052335,0.9713268717130025,-10.000000000000002
60,6,-12.0,20,-11.820512763205548,0.17948723679445244,0.13455122530178582,23.81487495501836,-10.000000000000002
61,6,-12.0,25,-11.890442512283729,0.1095574877162715,0.36235895875193724,19.29138925472895,-10.000000000000002
62,5,-10.0,11,-9.799759851747917,0.20024014825208347,0.3303659371654435,11.472220122814178,-10.000000000000002
63,5,-10.0,37,-9.998361208271705,0.0016387917282951747,0.02320178509913531,17.697285548845926,-10.000000000000002
64,8,-14.0,14,-13.794733696020836,0.20526630397916357,1.101075558383059,18.16448976198832,-10.000000000000002
65,5,-10.0,18,-9.869828795893655,0.13017120410634497,0.40846352148335824,24.888500289122263,-10.000000000000002
66,7,-14.0,14,-13.600548673887484,0.39945132611251566,0.6752361380104396,18.99697461525599,-10.000000000000002
67,7,-14.0,13,-13.589994826436625,0.4100051735633752,0.7607323894490067,11.956942502657572,-10.000000000000002
68,8,-16.0,25,-15.896076864255026,0.10392313574497436,0.19473673986960366,20.49385069211324,-10.000000000000002
69,8,-14.0,7,-13.558542800714694,0.44145719928530625,1.700916297623229,3.4975992878278097,-10.000000000000002
70,7,-14.0,36,-13.8921557579228,0.10784424207719923,0.2833650359086035,20.340589384237926,-10.000000000000002
71,5,-10.0,10,-9.646197641079679,0.35380235892032097,2.2569880518090506,4.008538953463236,-10.000000000000002
72,7,-14.0,29,-13.880865575952393,0.11913442404760666,0.3337508720834877,9.223225390911102,-10.000000000000002
73,6,-12.0,24,-11.804568216076436,0.19543178392356353,0.3956865532341311,5.456243153413137,-10.000000000000002
74,7,-14.0,22,-13.933643394198299,0.06635660580170111,0.17754553532200015,16.094261610507964,-10.000000000000002
75,5,-10.0,24,-9.951698184759197,0.048301815240803236,0.2783756693886008,23.32703059911728,-10.000000000000002
76,5,-10.0,18,-9.869828795932081,0.13017120406791882,0.40846797824576025,18.52133962313334,-10.000000000000002
77,8,-14.0,10,-13.999999999994186,5.81401593535702e-12,1.2546448354539688e-05,0.0819335142771403,-10.000000000000002
78,6,-12.0,25,-11.953008525099035,0.046991474900965,0.32147881923450305,2.2353976209958395,-10.000000000000002
79,8,-16.0,13,-15.57869482799023,0.42130517200977025,1.1807584031768317,0.5664722800254822,-10.000000000000002
80,5,-10.0,13,-9.798695643825052,0.20130435617494769,0.4231600228650885,1.0108343561490376,-10.000000000000002
81,7,-14.0,26,-13.977814070201957,0.022185929798043347,0.03017278618584683,3.5344317237536114,-10.000000000000002
82,8,-14.0,15,-13.800126925196974,0.19987307480302619,0.5337645197041674,1.0587772528330486,-10.000000000000002
83,8,-14.0,10,-13.692832939720319,0.30716706027968144,1.2485144484489346,5.758711087703705,-10.000000000000002
84,6,-12.0,50,-11.966359328644707,0.03364067135529325,0.07259722980579626,2.146707848707835,-10.000000000000002
85,7,-14.0,23,-13.999999999948066,5.193356855670572e-11,1.1463406733303765e-05,0.27530181805292764,-10.000000000000002
86,6,-12.0,7,-11.41977556241101,0.5802244375889902,3.1485469485448507,0.060309334595998125,-10.000000000000002
87,8,-16.0,25,-15.797122683435092,0.20287731656490848,1.0870643154382702,1.9826958457628885,-10.000000000000002
88,6,-10.0,10,-9.984805919882884,0.01519408011711576,0.45852289074473224,0.25711793502171837,-10.000000000000002
89,6,-12.0,12,-11.999999999879806,1.2019363282433915e-10,2.3328775544876607e-05,0.07333330710728964,-10.000000000000002
90,7,-14.0,40,-13.969016943807096,0.030983056192903646,0.19659862265110511,1.7637732903162637,-10.000000000000002
91,5,-10.0,14,-9.997935996287625,0.00206400371237514,0.07713923329038953,0.11845962206522624,-10.000000000000002
92,7,-14.0,36,-13.892158628671925,0.10784137132807459,0.2834633901165949,2.013042652606964,-10.000000000000002
93,5,-10.0,24,-9.951698184429679,0.04830181557032098,0.2783743605997759,2.057223844528198,-10.000000000000002
94,5,-10.0,13,-9.663469620707078,0.3365303792929222,0.734676293594949,0.2767768263816833,-10.000000000000002
95,6,-12.0,29,-11.953104914124443,0.046895085875556575,0.039725378831210106,1.098259166876475,-10.000000000000002
96,5,-10.0,13,-9.999999999441233,5.58767254688064e-10,8.683809331081789e-05,0.09583545128504435,-10.000000000000002
97,6,-12.0,14,-11.780143770185928,0.21985622981407182,0.7310976881958262,1.067236105600993,-10.000000000000002
98,6,-12.0,12,-11.999999999877197,1.2280310102141812e-10,2.5544910421095427e-05,0.09851662317911784,-10.000000000000002
99,6,-12.0,13,-11.672580011413077,0.32741998858692334,0.6945505568401982,1.7282479206720989,-10.000000000000002
100,5,-10.0,12,-9.729871383419772,0.27012861658022835,1.4565782102681162,0.30291337966918946,-10.000000000000002
101,6,-12.0,16,-11.957007692654283,0.042992307345716796,0.1951646808822119,0.40608954429626465,-10.000000000000002
102,6,-12.0,12,-11.997645580523526,0.002354419476473524,0.18695198219054981,0.08509377638498943,-10.000000000000002
103,6,-12.0,25,-11.890442512355396,0.10955748764460438,0.36235756278890285,1.7945666472117106,-10.000000000000002
104,6,-12.0,24,-11.900003941610128,0.09999605838987158,0.2529810251646406,2.461074193318685,-10.000000000000002
105,5,-10.0,24,-9.941158192628109,0.058841807371891264,0.255296838591173,1.1165756980578105,-10.000000000000002
106,6,-12.0,15,-11.848400602984153,0.1515993970158469,0.06723996777426144,0.2510723312695821,-10.000000000000002
107,5,-10.0,24,-9.951698185568986,0.04830181443101367,0.2783743473327461,7.614069676399231,-10.000000000000002
108,5,-10.0,16,-9.804865671702085,0.19513432829791455,0.7717546561029639,0.9653920690218608,-10.000000000000002
109,8,-14.0,25,-13.982536820108697,0.01746317989130297,0.14239005025680598,1.1831744114557903,-10.000000000000002
